"","Year","Date","School","Site","Opponent","Result","Completions","Attempts","Pct","Pass Yards","Pass TDs","Int","Rating","Rush Attempts","Rush Yards","Rush Avg","Rush TDs"
"1","2014","2014-09-27","Boise State","@","Air Force","L","12","25","48.0","161","2","1","120.5","4","-5","-1.3","0"
"2","2014","2014-10-24","Boise State","","Brigham Young","W","0","0","","0","0","0","","1","21","21.0","0"
"3","2014","2014-11-22","Boise State","@","Wyoming","W","0","0","","0","0","0","","2","15","7.5","0"
"4","2014","2014-11-29","Boise State","","Utah State","W","0","2","0.0","0","0","0","0.0","0","0","","0"
"5","2015","2015-09-04","Boise State","","Washington","W","16","26","61.5","129","0","1","95.5","11","30","2.7","0"
"6","2015","2015-09-12","Boise State","@","Brigham Young","L","25","38","65.8","297","1","3","124.3","9","5","0.6","0"
"7","2015","2015-09-18","Boise State","","Idaho State","W","5","6","83.3","59","0","0","165.9","2","7","3.5","0"
"8","2016","2016-09-01","North Carolina State","","William & Mary","W","17","21","81.0","174","2","0","182.0","5","6","1.2","0"
"9","2016","2016-09-10","North Carolina State","@","East Carolina","L","20","31","64.5","259","1","0","145.3","6","20","3.3","1"
"10","2016","2016-09-17","North Carolina State","","Old Dominion","W","24","28","85.7","285","3","0","206.6","4","0","0.0","0"
"11","2016","2016-10-01","North Carolina State","","Wake Forest","W","23","36","63.9","300","3","0","161.4","6","17","2.8","0"
"12","2016","2016-10-08","North Carolina State","","Notre Dame","W","5","12","41.7","27","0","0","60.6","6","-17","-2.8","0"
"13","2016","2016-10-15","North Carolina State","@","Clemson","L","20","40","50.0","231","0","2","88.5","9","24","2.7","0"
"14","2016","2016-10-22","North Carolina State","@","Louisville","L","16","31","51.6","236","2","2","123.9","6","-2","-0.3","0"
"15","2016","2016-10-29","North Carolina State","","Boston College","L","23","41","56.1","307","2","2","125.3","3","-17","-5.7","0"
"16","2016","2016-11-05","North Carolina State","","Florida State","L","25","41","61.0","304","1","1","126.4","12","20","1.7","0"
"17","2016","2016-11-12","North Carolina State","@","Syracuse","W","20","29","69.0","340","1","0","178.8","5","-11","-2.2","0"
"18","2016","2016-11-19","North Carolina State","","Miami (FL)","L","20","44","45.5","210","0","1","81.0","4","23","5.8","0"
"19","2016","2016-11-25","North Carolina State","@","North Carolina","W","11","18","61.1","151","0","0","131.6","4","7","1.8","0"
"20","2016","2016-12-26","North Carolina State","N","Vanderbilt","W","19","30","63.3","235","3","0","162.1","4","24","6.0","0"
"21","2017","2017-09-02","North Carolina State","N","South Carolina","L","45","64","70.3","415","2","0","135.1","5","-22","-4.4","1"
"22","2017","2017-09-09","North Carolina State","","Marshall","W","29","36","80.6","341","3","0","187.6","5","42","8.4","0"
"23","2017","2017-09-16","North Carolina State","","Furman","W","22","27","81.5","231","1","0","165.6","2","-6","-3.0","0"
"24","2017","2017-09-23","North Carolina State","@","Florida State","W","22","32","68.8","230","2","0","149.8","0","0","","0"
"25","2017","2017-09-30","North Carolina State","","Syracuse","W","20","33","60.6","186","1","0","118.0","5","37","7.4","0"
"26","2017","2017-10-05","North Carolina State","","Louisville","W","20","31","64.5","367","1","0","174.6","7","19","2.7","0"
"27","2017","2017-10-14","North Carolina State","@","Pittsburgh","W","14","25","56.0","198","1","0","135.7","3","10","3.3","0"
"28","2017","2017-10-28","North Carolina State","@","Notre Dame","L","17","37","45.9","213","1","1","97.8","3","-21","-7.0","0"
"29","2017","2017-11-04","North Carolina State","","Clemson","L","31","50","62.0","338","3","2","130.6","8","35","4.4","0"
"30","2017","2017-11-11","North Carolina State","@","Boston College","W","13","32","40.6","146","0","1","72.7","6","39","6.5","0"
"31","2017","2017-11-18","North Carolina State","@","Wake Forest","L","34","52","65.4","327","1","1","120.7","10","35","3.5","0"
"32","2017","2017-11-25","North Carolina State","","North Carolina","W","20","30","66.7","204","0","1","117.1","9","27","3.0","2"
"33","2017","2017-12-29","North Carolina State","N","Arizona State","W","24","29","82.8","318","1","0","186.2","6","-1","-0.2","0"
"34","2018","2018-09-01","North Carolina State","","James Madison","W","29","43","67.4","309","2","0","143.2","3","6","2.0","0"
"35","2018","2018-09-08","North Carolina State","","Georgia State","W","31","38","81.6","370","2","1","175.5","1","0","0.0","0"
"36","2018","2018-09-22","North Carolina State","@","Marshall","W","23","40","57.5","377","1","0","144.9","4","-1","-0.3","0"
"37","2018","2018-09-29","North Carolina State","","Virginia","W","22","32","68.8","257","3","0","167.2","3","7","2.3","0"
"38","2018","2018-10-06","North Carolina State","","Boston College","W","25","34","73.5","308","2","2","157.3","3","19","6.3","0"
"39","2018","2018-10-20","North Carolina State","@","Clemson","L","21","34","61.8","156","0","2","88.5","2","-5","-2.5","0"
"40","2018","2018-10-27","North Carolina State","@","Syracuse","L","26","44","59.1","473","3","1","167.3","3","0","0.0","0"
"41","2018","2018-11-03","North Carolina State","","Florida State","W","21","27","77.8","240","3","0","189.1","2","7","3.5","0"
"42","2018","2018-11-08","North Carolina State","","Wake Forest","L","35","52","67.3","374","1","1","130.2","6","-3","-0.5","1"
"43","2018","2018-11-17","North Carolina State","@","Louisville","W","26","36","72.2","316","4","0","182.6","3","1","0.3","0"
"44","2018","2018-11-24","North Carolina State","@","North Carolina","W","16","28","57.1","200","0","1","110.0","5","3","0.6","0"
"45","2018","2018-12-01","North Carolina State","","East Carolina","W","32","44","72.7","409","3","1","168.8","1","-9","-9.0","0"
"46","2018","2018-12-31","North Carolina State","N","Texas A&M","L","19","32","59.4","139","1","2","93.7","6","-4","-0.7","0"
